Position 1,Position 2,Position 3,Position 4,Position 5,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Z. Collins , K. Johnson , J. Champagnie , J. Sochan , V. Wembanyama,3,11.2,26,9.7,20.3,47.5,3,9,33.3,3.7,4,91.7,3.3,8.7,12,7.3,4,1,1.3,0.7,3.3,3,0.7
C. Osman , Z. Collins , K. Johnson , D. Vassell , V. Wembanyama,1,10.6,19,8,20,40,0,4,0,3,5,60,4,9,13,6,7,4,0,0,4,4,-2
D. Vassell , T. Jones , J. Champagnie , J. Sochan , V. Wembanyama,28,10.3,25.7,9.7,19.5,49.6,3,7.1,41.5,3.4,4,83.9,2.1,7.8,9.9,7.4,3.4,1.8,2.1,0.8,2.6,3.5,0.7
Z. Collins , D. Vassell , J. Champagnie , J. Sochan , V. Wembanyama,1,9.7,13,6,23,26.1,1,7,14.3,0,0,0,3,8,11,4,5,3,0,2,2,2,-8
D. Graham , M. Diakite , S. Mamukelashvili , J. Champagnie , B. Wesley,1,9.6,24,9,16,56.3,3,7,42.9,3,4,75,1,4,5,5,2,2,1,1,3,4,2
Z. Collins , K. Johnson , J. Champagnie , M. Branham , J. Sochan,1,9.1,16,6,14,42.9,4,9,44.4,0,0,0,1,7,8,4,7,2,1,1,3,0,-6
K. Johnson , D. Vassell , M. Branham , J. Sochan , V. Wembanyama,11,9,20.6,7.5,16.9,44.6,2.5,7.7,32.9,3,3.8,78.6,1.6,7.2,8.8,5.1,3.4,1.8,1.5,0.7,2.7,3.2,0.1
Z. Collins , K. Johnson , M. Branham , J. Sochan , V. Wembanyama,10,8.4,19.9,7.7,15.4,50,1.9,5.4,35.2,2.6,2.8,92.9,1.6,5.9,7.5,5.5,2.8,0.8,0.8,0.6,3,2.8,-2.7
D. Graham , S. Mamukelashvili , J. Champagnie , B. Wesley , S. Cissoko,1,8.3,27,8,17,47.1,1,7,14.3,10,12,83.3,2,9,11,6,1,6,1,2,2,6,16
D. Graham , S. Mamukelashvili , B. Wesley , D. Barlow , S. Cissoko,1,8,19,7,18,38.9,3,10,30,2,3,66.7,4,6,10,6,3,2,0,1,4,2,4
Z. Collins , K. Johnson , D. Vassell , J. Sochan , V. Wembanyama,11,8,16.4,6.2,14.7,42,1.7,5.9,29.2,2.3,2.9,78.1,1.7,6,7.7,4.8,3.2,1.2,1.1,0.9,3.4,2.8,-3.2
D. McDermott , C. Osman , C. Bassey , T. Jones , J. Champagnie,1,7.8,18,7,17,41.2,1,6,16.7,3,4,75,3,1,4,5,3,3,1,0,3,3,-9
Z. Collins , D. Vassell , J. Champagnie , M. Branham , J. Sochan,3,7.7,15,5.3,15,35.6,1.7,5.7,29.4,2.7,3.7,72.7,0.7,5,5.7,3.3,1.3,1,0.3,0.3,2.3,3,-9.3
D. Graham , S. Mamukelashvili , J. Champagnie , B. Wesley , D. Barlow,1,7.6,15,5,16,31.3,0,3,0,5,6,83.3,3,4,7,3,0,1,1,1,3,4,-1
D. Vassell , J. Champagnie , M. Branham , J. Sochan , V. Wembanyama,6,7.3,16.5,6.3,12.5,50.7,2.2,5.2,41.9,1.7,1.8,90.9,0.8,5,5.8,4.7,2.2,1,1.5,0.5,2,2,-2
C. Osman , K. Johnson , S. Mamukelashvili , M. Branham , B. Wesley,1,7.2,20,7,14,50,3,7,42.9,3,4,75,3,6,9,4,2,1,1,2,4,2,3
C. Osman , Z. Collins , D. Vassell , B. Wesley , J. Sochan,1,6.5,18,8,18,44.4,2,4,50,0,0,0,3,6,9,5,1,2,1,0,3,0,8
C. Osman , J. Champagnie , B. Wesley , J. Sochan , D. Barlow,1,6,14,4,11,36.4,3,7,42.9,3,4,75,2,4,6,3,2,1,0,1,4,3,5
Z. Collins , D. Graham , S. Mamukelashvili , M. Branham , B. Wesley,2,5.9,8,2.5,10.5,23.8,0.5,4,12.5,2.5,3,83.3,2,4.5,6.5,1,2.5,0,1,1.5,1.5,2.5,-1
C. Osman , C. Bassey , D. Vassell , T. Jones , J. Sochan,1,5.4,12,5,8,62.5,2,4,50,0,0,0,0,4,4,3,3,0,0,0,3,1,-1
C. Osman , J. Champagnie , M. Branham , B. Wesley , V. Wembanyama,1,5.4,16,6,10,60,0,4,0,4,4,100,0,2,2,6,0,1,0,0,0,3,4
D. Graham , C. Bassey , S. Mamukelashvili , J. Champagnie , M. Branham,1,5.3,18,6,9,66.7,3,5,60,3,5,60,0,2,2,4,0,1,1,0,2,3,4
D. Graham , C. Bassey , J. Champagnie , M. Branham , D. Barlow,1,5.2,14,5,8,62.5,2,3,66.7,2,2,100,1,3,4,2,1,1,0,0,0,1,2
D. McDermott , Z. Collins , J. Champagnie , J. Sochan , V. Wembanyama,1,5.2,7,3,9,33.3,1,2,50,0,0,0,2,2,4,2,4,1,1,2,2,2,-8
C. Osman , D. Vassell , B. Wesley , J. Sochan , D. Barlow,1,5,11,4,8,50,1,3,33.3,2,2,100,2,4,6,2,4,0,1,0,1,1,-3
C. Osman , K. Johnson , M. Branham , B. Wesley , V. Wembanyama,11,4.8,11,4.2,9.2,45.5,1.5,4.4,33.3,1.2,1.5,76.5,1.1,3.2,4.3,3.5,1.5,0.9,0.8,0,1.6,2.2,-0.2
D. Vassell , T. Jones , J. Champagnie , J. Sochan , D. Barlow,5,4.8,13,4.6,10.2,45.1,1.8,4.2,42.9,2,2.2,90.9,1.8,2.6,4.4,3,0.8,0.8,0.2,1.2,1,1.6,1
C. Osman , Z. Collins , D. Vassell , J. Champagnie , B. Wesley,1,4.7,8,3,7,42.9,1,3,33.3,1,2,50,1,1,2,1,1,0,0,0,1,3,-6
C. Osman , Z. Collins , D. Vassell , T. Jones , J. Champagnie,1,4.6,19,5,9,55.6,4,7,57.1,5,6,83.3,1,3,4,4,0,0,0,0,2,3,2
C. Osman , K. Johnson , J. Champagnie , B. Wesley , D. Barlow,2,4.4,11,4.5,9.5,47.4,0.5,2.5,20,1.5,2,75,2,2,4,3,0,0.5,1,1,3.5,1,-1
D. Graham , S. Mamukelashvili , J. Champagnie , M. Branham , J. Sochan,1,4.4,16,5,8,62.5,5,8,62.5,1,2,50,0,2,2,4,0,0,0,0,1,2,1
K. Johnson , D. Vassell , B. Wesley , J. Sochan , D. Barlow,4,4.4,7.8,3.3,8,40.6,0.8,3,25,0.5,0.5,100,0.8,2.3,3,2.3,1.3,0.5,0.8,0,0.8,0.8,-3.5
C. Bassey , T. Jones , J. Champagnie , M. Branham , S. Cissoko,1,4.3,5,2,7,28.6,1,3,33.3,0,0,0,1,4,5,1,3,0,2,1,1,0,-3
D. Vassell , T. Jones , S. Mamukelashvili , M. Branham , V. Wembanyama,1,4.3,17,6,7,85.7,3,3,100,2,2,100,0,4,4,5,1,2,0,0,1,1,10
C. Osman , Z. Collins , D. Graham , J. Champagnie , M. Branham,1,4.2,14,5,8,62.5,2,2,100,2,2,100,2,2,4,3,0,0,0,0,2,1,2
D. McDermott , C. Osman , C. Bassey , T. Jones , V. Wembanyama,2,4.2,14.5,5.5,8.5,64.7,2,3,66.7,1.5,1.5,100,1.5,3.5,5,4,1.5,0,1,0,2,3,7
C. Osman , D. Vassell , M. Branham , B. Wesley , V. Wembanyama,1,4.1,14,6,9,66.7,1,2,50,1,2,50,2,1,3,4,0,1,0,0,0,1,2
D. McDermott , C. Osman , T. Jones , M. Branham , V. Wembanyama,3,4.1,6,2.3,7.7,30.4,1,4.3,23.1,0.3,1,33.3,1,2.7,3.7,2,1.7,0.7,1,1,2.7,0.7,-3.7
D. McDermott , Z. Collins , K. Johnson , M. Branham , V. Wembanyama,2,4.1,13.5,5.5,7.5,73.3,2.5,3,83.3,0,0,0,0.5,4,4.5,5.5,1.5,0,0,0,1,0,4
D. McDermott , C. Osman , D. Vassell , T. Jones , S. Mamukelashvili,1,4,7,3,8,37.5,0,4,0,1,1,100,1,2,3,1,2,2,0,0,2,2,-4
D. McDermott , C. Osman , K. Johnson , S. Mamukelashvili , M. Branham,1,4,9,3,8,37.5,2,6,33.3,1,2,50,1,2,3,3,0,0,0,1,1,2,0
C. Osman , Z. Collins , T. Jones , J. Champagnie , M. Branham,1,3.9,9,4,8,50,1,2,50,0,0,0,1,2,3,4,2,1,0,2,2,0,-3
D. Graham , M. Diakite , S. Mamukelashvili , B. Wesley , D. Barlow,1,3.9,5,2,9,22.2,0,4,0,1,2,50,2,4,6,2,1,0,1,0,2,1,2
D. McDermott , D. Vassell , M. Branham , J. Sochan , D. Barlow,1,3.9,14,4,8,50,3,5,60,3,4,75,1,3,4,3,1,1,0,0,1,2,4
D. Vassell , T. Jones , M. Branham , J. Sochan , V. Wembanyama,7,3.7,7.7,3,6.4,46.7,0.9,2.6,33.3,0.9,1,85.7,0.7,3.1,3.9,2.6,1.3,1,0.7,0.3,1,1.6,0.4
Z. Collins , D. Vassell , M. Branham , J. Sochan , V. Wembanyama,1,3.7,2,1,8,12.5,0,3,0,0,0,0,2,1,3,1,3,1,0,0,1,1,-10
Z. Collins , D. Vassell , T. Jones , J. Champagnie , J. Sochan,7,3.7,6.6,2.6,6.4,40,0.7,2.3,31.3,0.7,1.3,55.6,0.9,3,3.9,2.1,1.7,0.7,0.7,0.6,1,1.1,-1
C. Osman , Z. Collins , K. Johnson , T. Jones , B. Wesley,1,3.6,14,6,10,60,1,1,100,1,3,33.3,2,4,6,6,0,0,0,1,1,2,0
C. Osman , Z. Collins , S. Mamukelashvili , M. Branham , B. Wesley,1,3.6,11,5,7,71.4,1,2,50,0,0,0,0,3,3,4,1,1,1,0,2,1,2
D. McDermott , C. Osman , Z. Collins , T. Jones , J. Champagnie,3,3.6,8,3,7.3,40.9,1.3,3.7,36.4,0.7,1,66.7,0,3,3,1.7,0.3,0.7,0.3,0,2,1,-0.3
D. McDermott , T. Jones , J. Champagnie , M. Branham , V. Wembanyama,1,3.6,10,4,7,57.1,1,3,33.3,1,2,50,1,3,4,4,2,1,0,0,0,1,0
D. McDermott , C. Osman , D. Vassell , J. Sochan , V. Wembanyama,3,3.5,7.7,3.3,7.7,43.5,1,2.3,42.9,0,0,0,1,2.7,3.7,2.3,0.3,0.3,0,0.3,1.7,0,1.3
D. McDermott , C. Osman , D. Vassell , M. Branham , D. Barlow,1,3.5,8,4,7,57.1,0,0,0,0,0,0,0,2,2,3,1,0,0,0,2,0,-2
D. McDermott , C. Osman , T. Jones , S. Mamukelashvili , J. Sochan,1,3.5,12,5,8,62.5,1,4,25,1,1,100,0,2,2,3,0,0,0,0,2,1,-3
D. McDermott , Z. Collins , T. Jones , J. Sochan , V. Wembanyama,1,3.5,8,3,5,60,2,3,66.7,0,0,0,0,1,1,2,2,1,0,0,0,2,-5
Z. Collins , K. Johnson , T. Jones , J. Sochan , V. Wembanyama,3,3.5,6.3,2.7,6,44.4,0.3,2.3,14.3,0.7,0.7,100,0.3,2.3,2.7,2,0.7,0.3,0.7,0.3,1.7,1,-0.7
C. Osman , C. Bassey , T. Jones , S. Mamukelashvili , M. Branham,1,3.4,8,2,7,28.6,2,3,66.7,2,2,100,2,2,4,1,3,1,0,0,3,4,3
K. Johnson , C. Bassey , J. Champagnie , M. Branham , J. Sochan,1,3.4,10,3,6,50,1,2,50,3,4,75,1,6,7,2,1,0,1,0,1,2,8
C. Osman , K. Johnson , D. Vassell , M. Branham , V. Wembanyama,7,3.3,10.6,4,6.4,62.2,1.4,2.7,52.6,1.1,1.1,100,0.6,1.9,2.4,2.9,1,0.7,0.6,0.6,1,1,1.4
D. McDermott , C. Osman , K. Johnson , M. Branham , V. Wembanyama,4,3.3,9.5,3,6.3,48,1,2.5,40,2.5,2.8,90.9,0.3,1.3,1.5,2.5,0.5,0.3,0.5,0,1,2.3,-1.8
D. McDermott , Z. Collins , J. Champagnie , M. Branham , V. Wembanyama,1,3.3,0,0,7,0,0,3,0,0,0,0,2,2,4,0,2,0,0,0,0,2,-10
K. Johnson , D. Vassell , T. Jones , J. Sochan , V. Wembanyama,32,3.3,9.1,3.3,6.4,52.2,1,2.5,40.5,1.4,1.8,80.7,0.5,2.4,2.9,2.6,0.9,0.7,0.7,0.3,1.3,1.3,1.6
S. Mamukelashvili , J. Champagnie , M. Branham , B. Wesley , D. Barlow,3,3.3,7.3,2.3,5.7,41.2,1.3,3.3,40,1.3,1.7,80,0.7,0.7,1.3,2,0.7,0.3,0,0.3,0.7,0.7,-2.3
C. Osman , K. Johnson , D. Vassell , J. Sochan , V. Wembanyama,1,3.2,17,6,12,50,2,7,28.6,3,4,75,3,0,3,4,0,1,0,0,5,4,6
D. McDermott , C. Osman , D. Vassell , M. Branham , V. Wembanyama,1,3.2,7,1,4,25,0,2,0,5,5,100,1,2,3,1,2,0,2,0,0,4,-1
D. McDermott , D. Graham , C. Bassey , M. Branham , J. Sochan,1,3.2,9,4,5,80,1,1,100,0,0,0,0,1,1,3,2,1,1,0,1,0,-3
D. McDermott , K. Johnson , D. Vassell , T. Jones , J. Sochan,1,3.2,11,4,6,66.7,1,3,33.3,2,2,100,1,0,1,2,1,2,0,0,1,1,3
D. McDermott , K. Johnson , T. Jones , M. Branham , V. Wembanyama,1,3.2,10,3,5,60,2,2,100,2,2,100,2,4,6,2,2,0,2,0,1,2,0
D. McDermott , Z. Collins , D. Graham , J. Champagnie , V. Wembanyama,1,3.2,8,3,6,50,2,2,100,0,0,0,1,2,3,2,1,0,2,0,3,3,2
K. Johnson , D. Vassell , T. Jones , S. Mamukelashvili , M. Branham,1,3.2,5,2,8,25,1,3,33.3,0,0,0,0,2,2,2,2,1,0,2,1,0,-7
K. Johnson , T. Jones , J. Champagnie , B. Wesley , V. Wembanyama,1,3.2,2,1,3,33.3,0,1,0,0,0,0,0,2,2,0,2,0,0,1,0,2,-7
Z. Collins , K. Johnson , D. Vassell , M. Branham , J. Sochan,16,3.2,6.6,2.5,6.4,39.2,0.7,1.9,36.7,0.9,1.1,82.4,0.9,2.3,3.2,1.6,1.4,0.2,0.1,0.6,1.3,0.8,-2.6
C. Bassey , S. Mamukelashvili , J. Champagnie , B. Wesley , D. Barlow,1,3.1,6,3,7,42.9,0,3,0,0,2,0,2,2,4,1,0,1,0,0,1,1,0
C. Osman , D. Vassell , J. Champagnie , J. Sochan , V. Wembanyama,1,3.1,7,2,4,50,1,2,50,2,2,100,1,3,4,2,2,0,1,0,0,3,-4
D. Vassell , T. Jones , S. Mamukelashvili , M. Branham , J. Sochan,1,3.1,5,2,5,40,1,3,33.3,0,0,0,0,1,1,2,2,0,0,1,1,0,-2
C. Osman , K. Johnson , D. Vassell , J. Sochan , D. Barlow,1,3,8,3,4,75,2,2,100,0,0,0,0,2,2,3,2,0,1,0,1,0,1
C. Osman , Z. Collins , K. Johnson , T. Jones , V. Wembanyama,2,3,8,2.5,5,50,1.5,2.5,60,1.5,2,75,1,0.5,1.5,2,0.5,0.5,0.5,0.5,1.5,1,-1.5
D. McDermott , C. Bassey , D. Vassell , T. Jones , V. Wembanyama,3,3,8,2.7,4.3,61.5,1.7,2.7,62.5,1,1,100,0,1.3,1.3,2.3,2,0.3,1,0,1,2.3,-0.7
D. McDermott , C. Osman , Z. Collins , M. Branham , V. Wembanyama,1,3,7,2,6,33.3,1,3,33.3,2,2,100,1,4,5,1,1,0,0,0,2,1,2
D. McDermott , K. Johnson , M. Branham , J. Sochan , V. Wembanyama,4,3,6,2.5,5.5,45.5,0,1.8,0,1,1,100,0.5,2.5,3,2,1.3,0,0.8,0.3,0.8,0.8,-2.5
D. McDermott , Z. Collins , D. Vassell , B. Wesley , J. Sochan,2,3,4.5,2,7,28.6,0.5,2.5,20,0,0,0,1,1.5,2.5,1,1,0,0,0.5,0.5,0,-7
D. Vassell , M. Branham , B. Wesley , J. Sochan , V. Wembanyama,1,3,7,3,6,50,1,3,33.3,0,0,0,0,2,2,3,0,0,0,0,1,0,0
Z. Collins , K. Johnson , D. Vassell , B. Wesley , J. Sochan,14,3,7,2.6,6,44,0.5,2,25,1.2,1.7,70.8,1.1,2.2,3.4,1.9,1,0.5,0.2,0.4,0.7,1,0.2
C. Osman , K. Johnson , M. Branham , B. Wesley , D. Barlow,6,2.9,7,2.5,5.3,46.9,0.5,1.8,27.3,1.5,1.7,90,0.5,1.8,2.3,1.8,0.7,0.3,0.5,0.3,2,0.8,-1.5
C. Osman , Z. Collins , K. Johnson , D. Vassell , B. Wesley,11,2.9,6.4,2.4,5.3,44.8,0.5,1.5,31.3,1.2,1.4,86.7,0.5,1.6,2.1,1.5,0.6,0.5,0.2,0.8,1.5,1.1,-1.7
D. McDermott , C. Osman , T. Jones , S. Mamukelashvili , D. Barlow,1,2.9,2,1,6,16.7,0,3,0,0,0,0,1,1,2,1,0,0,1,0,1,0,-5
D. McDermott , D. Vassell , J. Champagnie , J. Sochan , V. Wembanyama,1,2.9,8,3,4,75,1,2,50,1,2,50,0,2,2,2,1,1,1,0,0,1,1
D. McDermott , K. Johnson , S. Mamukelashvili , M. Branham , V. Wembanyama,1,2.9,9,4,5,80,1,1,100,0,0,0,0,5,5,4,2,0,0,0,2,1,2
D. McDermott , Z. Collins , K. Johnson , D. Vassell , J. Sochan,6,2.9,7.3,2.7,5,53.3,1.2,2.5,46.7,0.8,1.5,55.6,0,2.3,2.3,1.8,0.8,0.3,0.3,0,0.8,1.2,1.5
D. Vassell , T. Jones , B. Wesley , J. Sochan , V. Wembanyama,1,2.9,4,2,7,28.6,0,3,0,0,0,0,1,3,4,2,0,1,1,1,1,0,-1
Z. Collins , K. Johnson , J. Champagnie , M. Branham , B. Wesley,1,2.9,9,3,4,75,1,2,50,2,2,100,1,1,2,2,0,0,0,0,0,2,3
C. Osman , K. Johnson , D. Vassell , B. Wesley , D. Barlow,4,2.8,5.8,2.3,5,45,0.8,1.5,50,0.5,0.8,66.7,0.3,2,2.3,1.8,1,0.8,0.3,0.5,1.8,0.5,-0.3
D. McDermott , Z. Collins , K. Johnson , S. Mamukelashvili , J. Sochan,1,2.8,9,3,3,100,1,1,100,2,2,100,0,2,2,1,2,0,0,0,3,3,2
D. Vassell , J. Champagnie , B. Wesley , J. Sochan , D. Barlow,1,2.8,4,2,3,66.7,0,1,0,0,0,0,1,2,3,1,2,1,0,0,2,1,2
K. Johnson , T. Jones , J. Champagnie , J. Sochan , D. Barlow,1,2.8,6,3,6,50,0,1,0,0,0,0,1,1,2,1,0,1,0,1,0,2,2
Z. Collins , K. Johnson , D. Vassell , T. Jones , J. Sochan,26,2.8,6.2,2.5,4.8,51.2,0.7,2,32.1,0.6,0.8,72.7,0.4,2,2.4,1.5,0.8,0.4,0.3,0.2,1.3,0.8,-0.5
C. Osman , C. Bassey , T. Jones , M. Branham , V. Wembanyama,6,2.7,6.2,2.5,5.2,48.4,0.7,1.7,40,0.5,0.5,100,0.5,1.8,2.3,1.2,1.2,0.8,0.3,0.7,0.8,0.8,0.7
C. Osman , K. Johnson , C. Bassey , D. Vassell , T. Jones,6,2.7,6.7,2.3,5,46.7,0.8,2.2,38.5,1.2,1.2,100,0.2,2,2.2,1.5,0.5,0.2,0.3,0,1,0.8,0
D. McDermott , C. Osman , C. Bassey , M. Branham , J. Sochan,3,2.7,5,2,3.7,54.5,0.3,1.3,25,0.7,0.7,100,0.7,1.3,2,1.7,1.7,0,0.3,0.3,0.3,0.3,-1.7
D. McDermott , C. Osman , K. Johnson , B. Wesley , D. Barlow,2,2.7,8,3.5,7,50,0,1.5,0,1,1,100,1,1.5,2.5,0.5,0,0,0,1,2.5,1.5,-2.5
D. McDermott , K. Johnson , D. Vassell , T. Jones , D. Barlow,1,2.7,14,4,8,50,4,6,66.7,2,2,100,3,1,4,4,0,1,0,1,1,1,6
D. McDermott , Z. Collins , D. Vassell , M. Branham , J. Sochan,2,2.7,9.5,3,5.5,54.5,1,2,50,2.5,3,83.3,2,1.5,3.5,2.5,0.5,0.5,0,0,1,1.5,3
Z. Collins , K. Johnson , D. Vassell , T. Jones , S. Cissoko,1,2.7,7,3,5,60,1,3,33.3,0,0,0,0,2,2,1,1,0,1,0,2,0,-1
D. McDermott , C. Osman , D. Graham , C. Bassey , M. Branham,1,2.6,7,2,6,33.3,1,3,33.3,2,3,66.7,1,2,3,1,1,0,0,0,0,2,2
D. McDermott , C. Osman , K. Johnson , T. Jones , V. Wembanyama,15,2.6,5.4,2.1,5,41.3,0.5,2.1,21.9,0.8,1,80,0.5,1.7,2.3,1.4,0.8,0.4,0.5,0.2,0.8,1.3,-1
D. McDermott , C. Osman , M. Branham , B. Wesley , V. Wembanyama,2,2.6,6,2.5,5,50,0,2,0,1,1.5,66.7,0,2.5,2.5,1.5,0.5,1,0.5,0,1,2.5,0
D. McDermott , K. Johnson , C. Bassey , D. Vassell , T. Jones,2,2.6,6.5,3,5.5,54.5,0.5,2.5,20,0,0,0,0.5,1,1.5,2,0.5,0,0,0,0.5,0,-1
K. Johnson , D. Vassell , T. Jones , J. Champagnie , V. Wembanyama,6,2.6,8.2,2.8,6,47.2,1.7,3.3,50,0.8,0.8,100,1,2,3,2.3,0.5,0.8,0.5,0.3,1.2,1.2,2.7
C. Osman , C. Bassey , D. Vassell , T. Jones , J. Champagnie,2,2.5,5.5,2,4.5,44.4,1.5,2.5,60,0,0,0,0.5,1.5,2,1.5,0.5,0,1,0,2,0.5,0.5
C. Osman , K. Johnson , D. Vassell , M. Branham , D. Barlow,6,2.5,5.5,2.3,5.2,45.2,0.5,1,50,0.3,0.7,50,1.3,1.8,3.2,1.3,0.2,0.2,0.3,0.5,0.8,0.7,-0.7
C. Osman , K. Johnson , D. Vassell , S. Mamukelashvili , B. Wesley,1,2.5,7,3,5,60,1,3,33.3,0,0,0,0,0,0,3,0,0,0,0,0,0,-1
C. Osman , K. Johnson , T. Jones , B. Wesley , V. Wembanyama,1,2.5,6,2,3,66.7,1,2,50,1,3,33.3,0,1,1,1,0,1,1,0,1,2,4
D. McDermott , C. Osman , M. Branham , J. Sochan , V. Wembanyama,3,2.5,7.3,2.3,5.3,43.8,1.3,2.3,57.1,1.3,1.7,80,0,2.3,2.3,2.3,0.3,0.3,0.3,0.3,1,2.3,0.3
