Position 1,Position 2,Position 3,Position 4,Position 5,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
D. McDermott , Z. Collins , T. Jones , S. Mamukelashvili , J. Champagnie,1,1.8,7,3,5,60,1,3,33.3,0,0,0,1,0,1,2,1,0,0,0,0,0,-3
K. Johnson , J. Champagnie , M. Branham , J. Sochan , V. Wembanyama,3,1.8,3.3,1.3,4,33.3,0,0.7,0,0.7,0.7,100,0.7,1,1.7,0.7,0.7,0.7,1,0.7,0,1,1
Z. Collins , K. Johnson , T. Jones , J. Champagnie , J. Sochan,1,1.8,0,0,5,0,0,1,0,0,0,0,2,1,3,0,3,1,0,0,3,0,-7
Z. Collins , K. Johnson , T. Jones , J. Champagnie , V. Wembanyama,2,1.8,4.5,1.5,3.5,42.9,1,2.5,40,0.5,1,50,0.5,1.5,2,1.5,0.5,1,0,0,1,0.5,0
C. Osman , D. Vassell , T. Jones , M. Branham , V. Wembanyama,2,1.7,5,2,4,50,1,2,50,0,0,0,0,2.5,2.5,1.5,1,0,0.5,0.5,0,0,3
C. Osman , K. Johnson , D. Vassell , J. Champagnie , J. Sochan,1,1.7,3,1,2,50,1,1,100,0,0,0,0,0,0,1,1,0,0,0,2,0,-3
D. McDermott , C. Osman , K. Johnson , C. Bassey , T. Jones,2,1.7,3,1.5,4,37.5,0,1.5,0,0,0,0,0,1.5,1.5,0.5,0,0,0.5,0.5,2,0.5,-4
D. McDermott , C. Osman , T. Jones , B. Wesley , V. Wembanyama,1,1.7,4,2,3,66.7,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-4
D. McDermott , C. Osman , T. Jones , J. Champagnie , V. Wembanyama,2,1.7,4,1.5,3.5,42.9,1,3,33.3,0,0,0,0.5,1,1.5,1.5,0,0,1.5,0,1,1,-2
D. McDermott , C. Osman , Z. Collins , T. Jones , V. Wembanyama,2,1.7,3.5,1.5,2,75,0.5,1,50,0,0,0,0,1,1,1,0.5,0.5,0,0,0,0.5,-0.5
D. McDermott , Z. Collins , K. Johnson , T. Jones , J. Sochan,5,1.7,4.6,1.6,2.8,57.1,0.6,1.4,42.9,0.8,1,80,0,1.2,1.2,1,0,0.8,0.2,0,0.6,0.8,0.6
D. McDermott , Z. Collins , T. Jones , J. Champagnie , J. Sochan,2,1.7,5,2,2.5,80,1,1.5,66.7,0,0,0,0,0.5,0.5,1.5,0.5,0,0,0,1,0.5,-1.5
K. Johnson , C. Bassey , D. Vassell , T. Jones , J. Sochan,2,1.7,3.5,1,2.5,40,0.5,2,25,1,1,100,0,1.5,1.5,1,0,0,0.5,0,0,1,1.5
T. Jones , S. Mamukelashvili , J. Champagnie , M. Branham , D. Barlow,1,1.7,5,2,3,66.7,1,2,50,0,0,0,0,1,1,2,0,0,0,0,0,0,2
Z. Collins , T. Jones , J. Champagnie , J. Sochan , V. Wembanyama,1,1.7,4,2,4,50,0,2,0,0,0,0,0,3,3,1,0,0,0,0,0,0,2
C. Osman , D. Vassell , T. Jones , J. Champagnie , D. Barlow,2,1.6,4.5,2,3,66.7,0,0.5,0,0.5,1,50,0,0.5,0.5,1,0.5,0,0,0,0,0.5,-1
C. Osman , D. Vassell , T. Jones , J. Sochan , V. Wembanyama,8,1.6,3.4,1.3,2.8,45.5,0.5,1.3,40,0.4,0.6,60,0.4,1.3,1.6,1,0.9,0,0.3,0.1,0.8,0.6,-0.5
C. Osman , K. Johnson , B. Wesley , J. Sochan , D. Barlow,1,1.6,6,2,4,50,2,3,66.7,0,0,0,0,1,1,2,0,0,2,0,1,0,-2
C. Osman , T. Jones , J. Champagnie , J. Sochan , V. Wembanyama,1,1.6,6,2,2,100,1,1,100,1,1,100,0,1,1,1,0,0,0,0,0,1,2
C. Osman , T. Jones , S. Mamukelashvili , M. Branham , V. Wembanyama,1,1.6,4,2,4,50,0,1,0,0,1,0,1,2,3,0,0,0,0,0,0,1,2
C. Osman , Z. Collins , K. Johnson , T. Jones , J. Champagnie,4,1.6,1.8,0.3,1.5,16.7,0,1,0,1.3,1.5,83.3,0,0.3,0.3,0.3,1,0.5,0.3,0.3,1.5,0.8,-2.8
D. McDermott , C. Bassey , T. Jones , M. Branham , V. Wembanyama,3,1.6,4,1.7,3.3,50,0.7,1.7,40,0,0,0,0,1,1,1.7,0,0.3,0,0.3,0.7,0.3,0
D. McDermott , S. Mamukelashvili , J. Champagnie , M. Branham , B. Wesley,2,1.6,0,0,2,0,0,1,0,0,0,0,0,2,2,0,1,0,1,0.5,0,0,-2.5
D. McDermott , Z. Collins , D. Vassell , J. Sochan , V. Wembanyama,4,1.6,1.8,0.8,2.5,30,0,0.5,0,0.3,0.5,50,0.3,1.8,2,0.3,1,0,0,0,0.5,0.8,-2
K. Johnson , T. Jones , J. Champagnie , J. Sochan , V. Wembanyama,2,1.6,2.5,1,2.5,40,0.5,1,50,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,-3
Z. Collins , S. Mamukelashvili , J. Champagnie , M. Branham , B. Wesley,2,1.6,5.5,1.5,3,50,0.5,0.5,100,2,2.5,80,1,0.5,1.5,1,0.5,0,0,0,0.5,1.5,3
Z. Collins , T. Jones , J. Champagnie , M. Branham , V. Wembanyama,1,1.6,5,2,2,100,0,0,0,1,2,50,0,0,0,2,0,1,0,0,0,1,-3
C. Bassey , D. Vassell , T. Jones , J. Champagnie , V. Wembanyama,1,1.5,0,0,3,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,-2
C. Osman , C. Bassey , J. Champagnie , M. Branham , V. Wembanyama,1,1.5,4,2,3,66.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-4
C. Osman , C. Bassey , T. Jones , J. Champagnie , V. Wembanyama,1,1.5,4,1,1,100,0,0,0,2,2,100,0,2,2,1,1,0,0,0,0,1,1
C. Osman , D. Vassell , M. Branham , J. Sochan , V. Wembanyama,2,1.5,1,0.5,1.5,33.3,0,0.5,0,0,0,0,0,0.5,0.5,0.5,2,0.5,0.5,0,0,0,-4.5
C. Osman , D. Vassell , T. Jones , B. Wesley , J. Sochan,1,1.5,3,1,3,33.3,1,2,50,0,0,0,1,0,1,1,0,1,0,0,0,2,-1
C. Osman , K. Johnson , D. Vassell , B. Wesley , V. Wembanyama,3,1.5,3,1.3,3,44.4,0.3,1.3,25,0,0,0,0,1,1,0.7,0.7,0.3,0,0.3,0.7,0,-2.7
C. Osman , M. Diakite , S. Mamukelashvili , M. Branham , B. Wesley,1,1.5,4,1,1,100,0,0,0,2,3,66.7,0,2,2,0,0,0,0,0,0,2,1
C. Osman , Z. Collins , D. Vassell , M. Branham , J. Sochan,8,1.5,2.4,0.9,2.5,35,0.3,0.9,28.6,0.4,0.8,50,0.6,0.5,1.1,0.8,0.8,0,0.3,0,0.6,0.8,-2.3
C. Osman , Z. Collins , D. Vassell , T. Jones , J. Sochan,7,1.5,2,0.7,2.3,31.3,0.3,1,28.6,0.3,0.7,40,0.1,1.4,1.6,0.6,0.7,0.3,0.1,0.1,1,0.6,-1.7
C. Osman , Z. Collins , T. Jones , J. Champagnie , V. Wembanyama,2,1.5,2,1,2.5,40,0,0.5,0,0,0,0,0,1.5,1.5,1,0,0.5,0,0,1,0.5,-0.5
D. McDermott , C. Osman , Z. Collins , D. Vassell , J. Sochan,3,1.5,3.7,1.7,2.7,62.5,0,0.7,0,0.3,0.3,100,0.3,0,0.3,1,0.3,0,0,0.3,0.3,0.7,-3.3
D. McDermott , C. Osman , Z. Collins , K. Johnson , D. Vassell,1,1.5,7,3,3,100,1,1,100,0,0,0,0,2,2,2,0,0,0,0,2,0,5
D. McDermott , K. Johnson , C. Bassey , T. Jones , V. Wembanyama,1,1.5,4,2,2,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1
D. McDermott , Z. Collins , K. Johnson , T. Jones , M. Branham,2,1.5,5,2,3,66.7,1,1.5,66.7,0,1,0,0.5,2,2.5,1.5,0,0,0,0,1,0.5,2.5
K. Johnson , T. Jones , J. Champagnie , B. Wesley , J. Sochan,1,1.5,4,2,3,66.7,0,1,0,0,0,0,0,2,2,1,1,0,0,0,1,0,2
S. Mamukelashvili , J. Champagnie , M. Branham , J. Sochan , D. Barlow,1,1.5,4,2,3,66.7,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2
T. Jones , J. Champagnie , M. Branham , J. Sochan , V. Wembanyama,3,1.5,2.3,1,3,33.3,0,1.3,0,0.3,0.7,50,0.3,0.3,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.7,-2.3
Z. Collins , D. Vassell , J. Champagnie , B. Wesley , J. Sochan,6,1.5,3.8,1,2.8,35.3,0.3,1.3,25,1.5,1.5,100,0.5,1.3,1.8,0.8,0.2,0,0,0,0.2,0.7,0.2
C. Osman , J. Champagnie , M. Branham , J. Sochan , V. Wembanyama,1,1.4,2,0,2,0,0,2,0,2,2,100,1,0,1,0,1,0,0,0,1,2,-3
C. Osman , K. Johnson , J. Champagnie , M. Branham , D. Barlow,1,1.4,4,1,5,20,1,3,33.3,1,2,50,3,2,5,1,0,0,0,0,0,1,4
C. Osman , K. Johnson , J. Champagnie , M. Branham , J. Sochan,1,1.4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4
C. Osman , T. Jones , J. Champagnie , M. Branham , V. Wembanyama,2,1.4,3.5,1,2.5,40,0.5,2,25,1,1,100,0,0.5,0.5,0.5,0,0,0.5,0,0.5,1.5,-1.5
C. Osman , Z. Collins , D. Vassell , M. Branham , V. Wembanyama,1,1.4,2,1,2,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,-5
D. McDermott , C. Osman , Z. Collins , K. Johnson , M. Branham,3,1.4,2.3,1,2.3,42.9,0,0.7,0,0.3,0.3,100,0,0.3,0.3,0.3,0.3,0.3,0,0.3,0.7,0.3,-4.3
D. McDermott , Z. Collins , K. Johnson , J. Sochan , V. Wembanyama,4,1.4,4,1.8,3.3,53.8,0,1,0,0.5,0.8,66.7,0.8,1.3,2,1.3,0.5,0,0,0,0.8,0.5,2.3
D. McDermott , Z. Collins , T. Jones , M. Branham , V. Wembanyama,4,1.4,0.8,0.3,2.5,10,0.3,1.5,16.7,0,0,0,0.3,1,1.3,0.3,1.3,0.5,0.3,0.3,1,0.3,-2.5
D. Vassell , S. Mamukelashvili , M. Branham , B. Wesley , J. Sochan,1,1.4,0,0,3,0,0,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,-4
K. Johnson , D. Vassell , J. Champagnie , M. Branham , V. Wembanyama,2,1.4,0,0,1.5,0,0,1,0,0,0,0,0,1,1,0,0.5,0,0.5,0,0,1,-3
K. Johnson , D. Vassell , M. Branham , J. Sochan , D. Barlow,9,1.4,3.3,1.1,2.7,41.7,0.6,1,55.6,0.6,0.7,83.3,0,0.8,0.8,0.7,0.1,0.2,0.2,0.4,0.4,0.4,0
K. Johnson , D. Vassell , T. Jones , B. Wesley , J. Sochan,2,1.4,6,1.5,2.5,60,0.5,1,50,2.5,3,83.3,0,0,0,1,0,0.5,0,0,1,1.5,3
K. Johnson , T. Jones , B. Wesley , J. Sochan , S. Cissoko,1,1.4,5,2,3,66.7,0,0,0,1,2,50,1,0,1,2,0,0,0,0,0,1,0
Z. Collins , K. Johnson , D. Vassell , J. Champagnie , M. Branham,3,1.4,4,1.3,2.3,57.1,0.7,1,66.7,0.7,0.7,100,0.3,1.7,2,0.7,0.3,0,0,0.3,0,0.3,1
Z. Collins , K. Johnson , D. Vassell , M. Branham , B. Wesley,2,1.4,3,0.5,2.5,20,0.5,2,25,1.5,2,75,0,2,2,0.5,0.5,0,0,0,0,1,1
C. Osman , C. Bassey , D. Vassell , M. Branham , J. Sochan,3,1.3,3.3,1.3,2.7,50,0.3,0.7,50,0.3,0.7,50,0.7,0.7,1.3,0.3,0.3,0.3,0,0,1,0.7,1
C. Osman , C. Bassey , D. Vassell , T. Jones , V. Wembanyama,2,1.3,1,0.5,1.5,33.3,0,0,0,0,0,0,0,0,0,0.5,1.5,0.5,0,0,0.5,0.5,-3
C. Osman , C. Bassey , T. Jones , M. Branham , J. Sochan,2,1.3,3.5,1.5,2,75,0,0.5,0,0.5,1,50,0.5,0.5,1,0.5,1,0,0,0,1,1,-0.5
C. Osman , K. Johnson , M. Branham , J. Sochan , V. Wembanyama,3,1.3,3,1.3,3,44.4,0.3,1,33.3,0,0.3,0,0.7,1,1.7,1,0.3,0,0.3,0.3,0,0.7,-0.7
C. Osman , K. Johnson , S. Mamukelashvili , J. Champagnie , B. Wesley,1,1.3,3,1,1,100,0,0,0,1,2,50,0,1,1,1,1,1,0,0,0,1,1
C. Osman , K. Johnson , T. Jones , B. Wesley , J. Sochan,2,1.3,4,1.5,1.5,100,1,1,100,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,0,1
C. Osman , Z. Collins , D. Vassell , T. Jones , M. Branham,6,1.3,2.2,0.8,1.7,50,0,0.5,0,0.5,0.5,100,0.2,0.5,0.7,0.7,0.8,0,0.2,0,0.7,0.5,-0.5
C. Osman , Z. Collins , K. Johnson , T. Jones , M. Branham,11,1.3,3.6,1.4,2.5,53.6,0.3,0.7,37.5,0.6,0.8,77.8,0.3,0.5,0.8,1,0.2,0.1,0,0,0.5,0.7,0
D. McDermott , C. Osman , D. Vassell , B. Wesley , V. Wembanyama,3,1.3,2.7,1.3,2,66.7,0,0.3,0,0,0,0,0,1.3,1.3,1,0,0.3,0.3,0,0,1,0.3
D. McDermott , C. Osman , D. Vassell , T. Jones , D. Barlow,1,1.3,5,2,2,100,1,1,100,0,0,0,0,1,1,2,0,0,0,0,1,0,0
D. McDermott , C. Osman , T. Jones , J. Champagnie , D. Barlow,1,1.3,2,1,3,33.3,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1
D. McDermott , C. Osman , Z. Collins , D. Vassell , M. Branham,1,1.3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
D. McDermott , K. Johnson , C. Bassey , M. Branham , V. Wembanyama,1,1.3,4,2,4,50,0,1,0,0,0,0,1,1,2,1,1,0,0,1,1,0,0
D. McDermott , T. Jones , M. Branham , J. Sochan , V. Wembanyama,4,1.3,3.3,1.3,2.5,50,0.8,1.3,60,0,0,0,0.3,1,1.3,0.8,0.3,0,0,0.3,0.5,0.8,1.5
D. McDermott , Z. Collins , K. Johnson , D. Vassell , T. Jones,1,1.3,2,1,2,50,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,-4
D. Vassell , T. Jones , J. Champagnie , B. Wesley , V. Wembanyama,2,1.3,3.5,1,2,50,0,0.5,0,1.5,1.5,100,0,0,0,0,0.5,1,0,0.5,1,1.5,1
K. Johnson , C. Bassey , T. Jones , J. Champagnie , V. Wembanyama,1,1.3,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-5
K. Johnson , D. Vassell , J. Champagnie , B. Wesley , J. Sochan,1,1.3,2,1,1,100,0,0,0,0,0,0,0,1,1,1,2,0,1,0,3,1,2
K. Johnson , J. Champagnie , B. Wesley , J. Sochan , V. Wembanyama,3,1.3,1.3,0.7,3,22.2,0,1.7,0,0,0,0,0.3,0.3,0.7,0,0,0.7,0.3,0.3,0,0,-4.7
Z. Collins , D. Vassell , T. Jones , S. Mamukelashvili , J. Sochan,1,1.3,3,1,3,33.3,1,2,50,0,0,0,0,0,0,0,0,0,0,1,0,0,-3
Z. Collins , K. Johnson , D. Vassell , M. Branham , V. Wembanyama,1,1.3,2,1,3,33.3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,-2
Z. Collins , K. Johnson , D. Vassell , T. Jones , M. Branham,5,1.3,4.6,1.6,2.6,61.5,0.8,1,80,0.6,0.8,75,0.2,1.6,1.8,1.2,0.4,0.2,0.2,0.2,0.8,0.8,2
C. Osman , K. Johnson , D. Vassell , T. Jones , M. Branham,1,1.2,2,1,2,50,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,-2
C. Osman , T. Jones , M. Branham , J. Sochan , V. Wembanyama,1,1.2,2,1,2,50,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
C. Osman , Z. Collins , T. Jones , J. Champagnie , B. Wesley,1,1.2,3,1,2,50,1,2,50,0,0,0,0,1,1,1,1,0,0,0,0,0,-1
D. Graham , C. Bassey , S. Mamukelashvili , J. Champagnie , J. Sochan,1,1.2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
D. McDermott , C. Osman , C. Bassey , T. Jones , J. Sochan,1,1.2,3,1,3,33.3,1,2,50,0,0,0,1,1,2,1,1,0,0,1,0,1,3
K. Johnson , D. Vassell , J. Champagnie , J. Sochan , V. Wembanyama,2,1.2,3,1,2,50,1,2,50,0,0,0,0,1,1,0.5,0,0,0.5,0,0.5,0,-0.5
T. Jones , J. Champagnie , B. Wesley , J. Sochan , V. Wembanyama,1,1.2,3,1,2,50,0,1,0,1,2,50,0,2,2,1,0,0,0,0,0,1,1
Z. Collins , K. Johnson , D. Vassell , J. Champagnie , B. Wesley,1,1.2,2,1,2,50,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-1
C. Osman , D. Vassell , M. Branham , J. Sochan , D. Barlow,1,1.1,2,1,2,50,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2
C. Osman , K. Johnson , C. Bassey , D. Vassell , J. Sochan,6,1.1,1.7,0.5,2.2,23.1,0.2,0.3,50,0.5,0.8,60,0.5,0.8,1.3,0.5,0.3,0.2,0,0.2,0.5,0.3,-2.5
C. Osman , K. Johnson , M. Branham , J. Sochan , D. Barlow,2,1.1,0.5,0,1.5,0,0,0.5,0,0.5,2,25,0.5,0.5,1,0,0.5,0,1,0,0.5,1,-1
C. Osman , M. Branham , B. Wesley , J. Sochan , V. Wembanyama,2,1.1,3.5,1,1.5,66.7,0.5,1,50,1,1,100,0,0,0,1,0.5,0.5,0,0,0,1.5,-1
C. Osman , Z. Collins , D. Graham , D. Vassell , M. Branham,1,1.1,4,2,2,100,0,0,0,0,0,0,0,2,2,2,1,0,1,0,0,0,4
C. Osman , Z. Collins , K. Johnson , J. Sochan , V. Wembanyama,3,1.1,3.7,1.3,2,66.7,0.3,0.3,100,0.7,0.7,100,0.7,0.7,1.3,0.7,0.7,0,0.7,0.3,1,0.3,0.3
C. Osman , Z. Collins , K. Johnson , M. Branham , V. Wembanyama,1,1.1,6,2,4,50,2,3,66.7,0,0,0,0,0,0,1,0,1,0,0,0,0,1
D. McDermott , C. Osman , Z. Collins , D. Vassell , T. Jones,4,1.1,1.5,0.5,1.8,28.6,0,0.8,0,0.5,0.5,100,0,0.5,0.5,0.5,0.3,0.3,0,0,0,0.3,-2.3
D. McDermott , D. Vassell , T. Jones , J. Champagnie , V. Wembanyama,2,1.1,5.5,2,2.5,80,0.5,1,50,1,1,100,0,1.5,1.5,1,0,0,0,0,0.5,1,3
D. McDermott , J. Champagnie , M. Branham , J. Sochan , V. Wembanyama,3,1.1,3,1.3,2.3,57.1,0,1,0,0.3,0.3,100,0.3,0.3,0.7,1,0.7,0.3,0,0,1,0.7,-0.7
D. McDermott , K. Johnson , T. Jones , J. Champagnie , D. Barlow,1,1.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-6
D. McDermott , T. Jones , J. Champagnie , J. Sochan , V. Wembanyama,3,1.1,2.7,1.3,3,44.4,0,1.3,0,0,0.3,0,1,0.7,1.7,1,0.3,0,0,0.3,0,0.7,0.3
D. McDermott , Z. Collins , K. Johnson , D. Vassell , M. Branham,4,1.1,4,1.8,2.5,70,0.3,0.3,100,0.3,0.3,100,0,0.8,0.8,1,0.3,0.3,0,0,0.5,0.3,1
K. Johnson , C. Bassey , T. Jones , J. Champagnie , M. Branham,1,1.1,5,2,4,50,1,1,100,0,0,0,2,1,3,1,1,0,0,1,2,0,-1
K. Johnson , D. Vassell , T. Jones , S. Mamukelashvili , J. Sochan,2,1.1,2.5,0.5,1.5,33.3,0,1,0,1.5,2,75,0,0,0,0.5,0,0.5,0.5,0,0,1,-0.5
K. Johnson , T. Jones , J. Champagnie , M. Branham , D. Barlow,1,1.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-5
C. Osman , C. Bassey , M. Branham , B. Wesley , V. Wembanyama,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-2
C. Osman , D. Vassell , T. Jones , J. Champagnie , J. Sochan,1,1,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-3
C. Osman , T. Jones , S. Mamukelashvili , J. Champagnie , B. Wesley,1,1,5,1,1,100,1,1,100,2,2,100,0,0,0,0,0,0,0,0,1,1,-1
C. Osman , Z. Collins , D. Vassell , J. Champagnie , J. Sochan,2,1,1,0.5,1.5,33.3,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,-2
D. McDermott , C. Osman , J. Champagnie , M. Branham , V. Wembanyama,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2
D. McDermott , C. Osman , T. Jones , J. Sochan , V. Wembanyama,2,1,2.5,0.5,2,25,0.5,1,50,1,1,100,0,1,1,0.5,0.5,0.5,0,0,0.5,0.5,0.5
D. McDermott , C. Osman , Z. Collins , S. Mamukelashvili , M. Branham,1,1,10,2,2,100,1,1,100,5,5,100,0,0,0,2,0,1,0,0,0,3,8
D. McDermott , C. Osman , Z. Collins , T. Jones , M. Branham,2,1,3.5,1,1.5,66.7,0.5,0.5,100,1,1,100,0,0,0,0.5,0,0,0,0,0.5,0.5,-1.5
D. McDermott , K. Johnson , T. Jones , S. Mamukelashvili , J. Sochan,1,1,2,1,1,100,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,-1
D. McDermott , Z. Collins , K. Johnson , T. Jones , V. Wembanyama,4,1,0.5,0.3,2.5,10,0,1.8,0,0,0,0,0.5,0.3,0.8,0.3,0,0,0,0,0.8,0.8,-2
D. Vassell , T. Jones , B. Wesley , J. Sochan , S. Cissoko,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4
Z. Collins , D. Vassell , M. Branham , B. Wesley , J. Sochan,3,1,2.7,1,1.7,60,0.3,0.7,50,0.3,0.7,50,0,0,0,1,0.3,0,0,0.3,0.7,0.3,-1.7
Z. Collins , K. Johnson , J. Champagnie , B. Wesley , J. Sochan,1,1,5,2,3,66.7,1,1,100,0,0,0,1,1,2,1,0,0,0,0,1,0,4
Z. Collins , K. Johnson , T. Jones , B. Wesley , S. Cissoko,1,1,0,0,3,0,0,3,0,0,0,0,1,2,3,0,1,0,0,0,1,1,-5
