#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,DeMar DeRozan,CHI,59,37.8,22.9,7.8,16.6,47.1,0.9,2.8,34.1,6.3,7.4,86,0.6,3.5,4.1,5.3,1.1,0.6,1.5,22.7
2,Luka Doncic,DAL,53,37.5,34.5,11.7,23.7,49.6,3.9,10.2,38,7.2,9.2,78.4,0.8,8.1,8.9,9.7,1.5,0.6,3.9,37.4
3,Tyrese Maxey,PHI,55,37.4,26,9,20.1,44.9,3.1,8.1,37.8,4.9,5.6,87.1,0.6,3.2,3.7,6.3,1,0.5,1.7,24
4,Miles Bridges,CHA,50,37.4,21.4,8.2,17.7,46.2,2.4,6.6,37.2,2.6,3,84.8,1,6.5,7.5,3.3,1,0.5,2,21.7
5,Kevin Durant,PHX,54,37.2,27.8,10.1,19.1,52.8,2.2,5.1,42.1,5.5,6.4,85.6,0.6,6.1,6.7,5.5,0.9,1.3,3.3,28.9
6,Fred VanVleet,HOU,53,36.8,16.5,5.5,13.5,40.8,2.9,7.9,37.4,2.6,3,85.6,0.4,3.3,3.8,7.9,1.1,0.9,1.7,20.1
7,Coby White,CHI,61,36.7,19.6,7,15.3,45.4,2.8,7.3,38.7,2.9,3.5,83.4,0.6,4.2,4.8,5.3,0.7,0.2,2.2,19.5
8,Trae Young,ATL,51,36.5,26.4,8.2,19.3,42.6,3.3,8.9,37.1,6.6,7.8,85.6,0.4,2.3,2.7,10.8,1.4,0.2,4.3,25
9,Devin Booker,PHX,50,35.8,27.5,9.6,19.4,49.4,2.2,5.8,37.9,6.1,7,88,0.7,3.9,4.6,6.8,0.9,0.4,2.6,27.1
10,Anthony Davis,LAL,59,35.7,24.9,9.5,17,55.9,0.3,1.2,26.4,5.6,6.9,81.5,3.1,9.2,12.3,3.6,1.1,2.5,2,33.6
11,Donovan Mitchell,CLE,47,35.7,28,9.7,20.4,47.2,3.4,9.1,37.1,5.3,6.1,86.1,0.9,4.5,5.4,6.2,1.8,0.5,2.9,27.3
12,Jayson Tatum,BOS,57,35.7,27.1,9.2,19.2,47.8,3.1,8.4,36.9,5.6,6.8,82.9,0.8,7.6,8.4,4.8,1,0.6,2.5,28.3
13,De'Aaron Fox,SAC,52,35.7,26.8,9.7,20.6,47.2,2.8,7.6,36.8,4.5,6.3,70.9,0.9,3.3,4.2,5.7,1.9,0.4,2.7,23.5
14,Domantas Sabonis,SAC,60,35.7,19.9,8,13.2,60.8,0.5,1.1,41.8,3.4,4.8,69.3,3.5,9.9,13.4,8.4,0.9,0.6,3.3,33.1
15,Julius Randle,NYK,46,35.4,24,8.6,18.2,47.2,1.7,5.3,31.1,5.1,6.6,78.1,2.2,7,9.2,5,0.5,0.3,3.5,24.5
16,Jalen Brunson,NYK,57,35.4,27.2,9.6,20.2,47.7,2.6,6.5,40.7,5.3,6.2,84.6,0.6,3.1,3.7,6.6,0.9,0.2,2.5,24.5
17,Mikal Bridges,BKN,61,35.1,21.1,7.5,16.8,44.5,2.5,7.1,35.5,3.6,4.5,81,0.8,4,4.8,3.7,1,0.4,2.1,18.7
18,LeBron James,LAL,55,35,25.2,9.5,18.1,52.7,2.2,5.4,40.7,3.9,5.3,73.2,0.9,6.2,7.1,7.9,1.3,0.6,3.2,28.8
19,Dejounte Murray,ATL,57,35,21.6,8.3,17.8,46.6,2.2,6.2,35.5,2.8,3.4,81.1,0.7,4.5,5.3,5.6,1.3,0.3,2.3,21.6
20,Giannis Antetokounmpo,MIL,59,34.9,30.8,11.5,18.6,61.9,0.5,1.7,30.1,7.3,11,66.1,2.6,8.7,11.3,6.3,1.3,1,3.4,36.5
21,Damian Lillard,MIL,57,34.9,24.5,7.4,17.4,42.3,2.9,8.5,34.7,6.8,7.4,92.6,0.5,3.8,4.4,6.7,1.1,0.2,2.6,23.6
22,Scottie Barnes,TOR,60,34.9,19.9,7.5,15.7,47.5,1.7,4.9,34.1,3.3,4.2,78.1,2.4,5.9,8.2,6.1,1.3,1.5,2.8,24.9
23,Anthony Edwards,MIN,59,34.9,26.1,9,19.4,46.5,2.5,6.7,37.8,5.5,6.6,84.2,0.5,4.7,5.2,5.1,1.3,0.5,3.2,23.6
24,Paolo Banchero,ORL,59,34.8,22.9,8.1,17.6,46.1,1.5,4.2,36,5.1,7.2,70.5,1.1,5.7,6.9,5.2,1,0.5,3,21.8
25,Bam Adebayo,MIA,50,34.6,20.4,7.8,15.1,51.7,0,0.2,8.3,4.8,6.2,77.7,2.2,8.2,10.4,4.1,1,1,2.5,25.7
26,James Harden,LAC,55,34.6,17.6,5.1,11.5,44.6,2.8,6.9,41.1,4.5,5.1,87.6,0.5,4.6,5.1,8.3,1.1,0.9,2.6,23.4
27,Nikola Vucevic,CHI,56,34.5,17.7,7.6,16.1,47.1,1.2,4.2,27.5,1.4,1.6,83.5,2.9,7.9,10.7,3.4,0.7,0.8,1.6,23
28,Kawhi Leonard,LAC,55,34.4,24,9,17.3,52.1,2.2,5.2,43,3.8,4.2,88.8,1.2,5,6.2,3.7,1.7,0.9,1.7,26
29,Shai Gilgeous-Alexander,OKC,60,34.4,31.1,11,20.1,54.6,1.3,3.4,38.3,7.8,8.9,88.2,0.9,4.8,5.6,6.5,2.2,1,2.2,34
30,Jalen Johnson,ATL,46,34.2,15.6,6.3,12.2,51.6,1.2,3.4,33.8,1.9,2.6,72.7,1.3,7.4,8.7,3.3,1.2,0.9,1.8,21.4
31,Pascal Siakam,IND,60,34,21.7,8.5,15.8,53.5,1.2,3.5,34,3.6,4.9,73.5,1.5,5,6.5,4.7,0.8,0.3,1.9,23.4
32,Nikola Jokic,DEN,59,34,25.9,10.2,17.6,58.1,1,3,34.1,4.5,5.5,82,2.9,9.4,12.2,9.2,1.2,0.9,2.9,38.3
33,Terry Rozier,MIA,43,34,20.3,7.3,16.6,44.2,2.3,6.8,33.3,3.3,3.9,86.7,0.7,3.4,4,6.3,1,0.4,1.9,20.3
34,Tobias Harris,PHI,54,33.8,17.6,6.8,13.5,50,1.3,3.5,35.6,2.9,3.2,89.6,1.1,5,6.1,3.2,1,0.6,1.4,20.1
35,Paul George,LAC,55,33.8,22.1,7.8,17,45.7,3.3,8.3,39.6,3.3,3.7,88.3,0.5,4.8,5.3,3.5,1.6,0.4,2,21.2
35,Rudy Gobert,MIN,60,33.8,13.8,5.3,8.1,65.2,0,0.1,0,3.3,5.1,64.7,3.6,9.2,12.8,1.2,0.6,2.1,1.5,24.4
37,Cade Cunningham,DET,50,33.8,22.2,8.3,18.3,45.3,1.9,5.3,35.6,3.7,4.4,85.8,0.4,3.7,4.1,7.4,0.9,0.4,3.5,20.9
38,Jerami Grant,POR,52,33.7,21.1,7.2,15.9,45.1,2.1,5.2,40.1,4.7,5.8,81.2,0.7,2.9,3.6,2.8,0.8,0.6,2.1,17.1
39,Brandon Ingram,NOP,55,33.3,21.9,8.1,16.6,49.1,1.4,4,36.1,4.2,5.2,80.4,0.7,4.3,5,5.8,0.8,0.6,2.6,22
40,Grayson Allen,PHX,55,33.3,12.6,4.2,8.5,49.1,2.5,5.4,46.3,1.7,1.9,88.8,0.6,3.3,3.9,3.1,0.9,0.7,1.3,15.2
41,Jaylen Brown,BOS,55,33.2,22.5,8.7,17.3,50.2,2,5.7,35.2,3,4.2,71.9,1.1,4.4,5.5,3.7,1.1,0.5,2.4,21.1
42,Franz Wagner,ORL,53,33.1,20.5,7.6,15.8,48.2,1.5,4.9,30.7,3.7,4.4,85,1,4.6,5.6,4.1,1,0.4,2.1,20.6
43,Jrue Holiday,BOS,55,33.1,12.9,4.9,10.2,48,2,4.5,44.8,1,1.2,82.4,1.3,4.4,5.7,4.8,0.9,0.7,1.8,17.6
44,Keegan Murray,SAC,56,33,15.1,5.7,12.3,46.6,2.2,6.1,36.3,1.4,1.7,82.8,1.3,4,5.3,1.6,1.1,0.7,0.9,16.1
45,Stephen Curry,GSW,57,32.9,27.1,8.9,19.8,45,4.9,12.1,40.7,4.4,4.7,92.2,0.5,3.8,4.3,5,0.8,0.4,3,23.4
46,Lauri Markkanen,UTA,51,32.9,23.1,7.7,16,48.3,3.2,8,40.1,4.4,4.9,88.8,2.3,6,8.3,2,0.9,0.5,1.3,24.5
47,Karl-Anthony Towns,MIN,60,32.8,22.1,7.9,15.5,50.6,2.2,5.3,42.3,4.2,4.8,87.4,1.5,6.9,8.4,3,0.7,0.7,2.8,23.8
48,Saddiq Bey,ATL,59,32.6,13.7,4.6,10.9,42.2,1.8,5.6,32.1,2.6,3.1,84.3,2.6,3.8,6.4,1.5,0.8,0.1,0.8,14.9
49,Alperen Sengun,HOU,59,32.3,20.8,8.2,15.3,53.7,0.5,1.8,28.7,3.9,5.5,70.6,2.8,6.3,9.1,4.9,1.1,0.7,2.6,25.4
50,Max Strus,CLE,60,32.2,12.2,4.4,10.6,41.2,2.4,7.1,34,1,1.3,78.5,0.9,3.9,4.7,3.8,0.9,0.5,1.5,14.1
51,Jabari Smith Jr.,HOU,55,32.1,13.4,4.9,10.9,45.1,1.7,4.8,35.4,1.9,2.4,80.9,2,6.7,8.7,1.5,0.7,0.7,1.2,17.4
52,Devin Vassell,SAS,56,32.1,19.3,7.2,15.3,46.8,2.5,6.7,37.4,2.4,3.1,79.1,0.4,3.4,3.8,3.9,1.1,0.4,1.5,18.1
53,Derrick White,BOS,56,32,15.5,5.4,11.4,47.1,2.7,6.6,40.7,2,2.3,89.7,0.6,3.3,3.9,4.9,1.1,1.2,1.6,18.7
54,Jalen Williams,OKC,55,32,19.1,7.5,13.9,54,1.5,3.4,44.3,2.6,3.2,81,0.5,3.5,4,4.5,1,0.5,1.7,20.5
55,Tyrese Haliburton,IND,49,32,20.8,7.5,15.6,48,3,7.8,38.1,2.9,3.4,85,0.6,3.2,3.8,11.3,1.1,0.7,2.3,26.8
56,Kyle Kuzma,WAS,59,31.9,22.2,8.7,18.9,46.1,2.3,6.8,34.2,2.5,3.2,77.4,1,5.5,6.5,4.1,0.5,0.7,2.6,20.5
57,Brandon Miller,CHA,54,31.9,16.7,6.3,14.3,44,2.3,6.2,37.7,1.8,2.2,82.9,0.9,3.3,4.1,2.4,0.9,0.5,1.8,14.5
58,Jaren Jackson Jr.,MEM,54,31.9,22.4,7.7,17.3,44.6,1.9,5.7,32.5,5.1,6.3,81.8,1.2,4.3,5.5,2.1,1.1,1.5,2.4,19.6
59,Michael Porter Jr.,DEN,60,31.8,16.6,6.4,13.3,48.1,2.8,6.9,39.8,1.1,1.3,82.1,1.4,5.8,7.2,1.5,0.5,0.7,1.1,18.2
60,D'Angelo Russell,LAL,58,31.7,17.8,6.5,13.9,46.7,2.8,6.6,41.6,2,2.5,80.1,0.4,2.6,2.9,6.2,0.9,0.5,2,18.5
61,Kentavious Caldwell-Pope,DEN,55,31.7,10.1,3.5,7.9,44.2,1.5,3.9,38.8,1.7,1.8,91.9,0.5,1.9,2.3,2.4,1.3,0.4,0.9,11.1
62,CJ McCollum,NOP,45,31.6,18.8,6.8,14.9,45.8,3.4,8,42.5,1.8,2.3,79.4,0.6,3.7,4.3,4.5,1.1,0.8,1.5,19.4
63,Aaron Gordon,DEN,55,31.5,14,5.5,9.9,55.6,0.5,1.9,29.1,2.4,3.7,65.3,2.4,4.1,6.6,3.2,0.9,0.7,1.5,18.1
64,Austin Reaves,LAL,63,31.4,15.7,5.5,11.1,49.4,1.8,4.8,37,2.9,3.3,86.6,0.7,3.4,4,5.6,0.9,0.2,2.1,18.1
65,RJ Barrett,TOR,50,31.4,19.4,7.2,14.8,48.6,1.6,4.5,36.6,3.4,4.8,71.4,0.9,4.4,5.3,3.1,0.5,0.3,2,17.8
66,Jamal Murray,DEN,45,31.3,20.6,7.8,16.3,47.9,2.4,5.7,41.9,2.6,3,85.2,0.6,3.3,3.9,6.4,0.8,0.7,2.1,21.4
67,Dillon Brooks,HOU,51,31.3,13.5,4.8,11,43.7,2,5.1,38.6,1.9,2.3,83.5,0.8,2.8,3.6,1.6,0.9,0.1,1.3,11.9
68,Jarrett Allen,CLE,55,31.2,15.8,6.5,10.2,63.3,0,0.1,0,2.8,3.9,72.9,3.3,7.1,10.5,2.7,0.8,1.1,1.7,24.4
69,Josh Hart,NYK,60,31.2,8.7,3.3,7.8,42.4,1.1,3.2,32.5,1,1.3,76.9,1.4,6.2,7.6,3.5,0.9,0.3,1.3,14.9
70,Brook Lopez,MIL,59,31.2,12.6,4.7,9.9,47.8,1.8,5.2,34.7,1.4,1.7,82.2,1.5,3.9,5.4,1.7,0.6,2.7,0.9,16.6
71,Zion Williamson,NOP,50,30.6,22.1,8.7,15.2,57.5,0.1,0.3,38.5,4.6,6.7,68.5,1.7,3.7,5.5,5.1,0.9,0.5,2.6,22.9
72,Jalen Green,HOU,60,30.6,18.2,6.3,15.4,40.7,2.2,6.8,31.8,3.5,4.3,81.1,0.4,4.5,4.9,3.4,0.7,0.3,2.2,15.4
73,Jordan Clarkson,UTA,51,30.5,17.3,6.1,14.8,41.3,1.7,5.7,30,3.3,3.8,88,0.9,2.6,3.5,5.1,0.6,0.1,2.6,14.8
74,Chet Holmgren,OKC,61,30.2,17.1,6.4,11.9,54.1,1.7,4.3,39.5,2.5,3.2,78.6,1.6,6.1,7.8,2.7,0.7,2.6,1.6,23
75,Dennis Schroder,BKN,61,30.1,13.5,4.8,11,43.6,1.6,4.4,37.5,2.2,2.7,82.2,0.4,2.4,2.8,6,0.8,0.2,1.7,14.8
76,Jalen Duren,DET,45,30.1,13.9,6,9.6,62.2,0,0.1,0,2,2.6,76.3,3.3,8.5,11.8,2.6,0.5,0.9,2,23.4
77,Klay Thompson,GSW,57,29.9,16.9,6,14.3,42,3.3,8.7,37.8,1.7,1.8,92.2,0.5,3,3.5,2.2,0.6,0.5,1.5,13.7
78,Cam Thomas,BKN,48,29.8,20.9,7.5,17.3,43.7,2,5.6,36,3.8,4.5,83.9,0.4,2.5,2.9,2.7,0.8,0.3,1.8,15.2
79,Eric Gordon,PHX,50,29.8,12.5,4.6,10.1,45.5,2.5,6.4,38.9,0.9,1.1,81.5,0.3,1.8,2.1,2.2,0.9,0.5,1.3,11.3
80,P.J. Washington,DAL,53,29.7,13.3,5,11.4,44.4,1.8,5.5,31.6,1.5,2.1,70.6,1.2,4.1,5.3,2.1,0.9,0.7,1.5,13.8
81,Spencer Dinwiddie,LAL,57,29.6,11.4,3.7,9.6,38.8,1.7,5.4,31.6,2.3,2.9,78.2,0.5,2.4,2.9,5.6,0.7,0.2,1.3,13.1
82,Kristaps Porzingis,BOS,44,29.6,20.3,6.8,12.8,52.6,1.9,5.1,37.5,4.9,5.7,85.9,1.6,5.3,6.9,1.9,0.6,1.8,1.6,23
83,Keldon Johnson,SAS,57,29.5,15.8,5.8,12.8,45,1.8,5.2,33.8,2.5,3.2,78.1,1.4,4.1,5.4,3,0.8,0.3,1.5,16.1
84,Jaime Jaquez Jr.,MIA,54,29.5,12.7,4.9,10,49.2,0.9,2.8,31.8,2,2.4,80.9,1.3,2.6,3.9,2.6,1.1,0.2,1.7,13.3
85,Harrison Barnes,SAC,60,29.5,12.1,4.2,8.7,48.4,1.9,4.8,39.9,1.8,2.3,80.3,0.8,2.1,2.9,1.1,0.7,0.2,0.7,11.4
85,Malik Beasley,MIL,60,29.5,11.4,4.1,8.9,46.3,2.9,6.6,44.2,0.3,0.5,63,0.6,3.3,3.9,1.4,0.9,0.1,0.7,12
87,Jeremy Sochan,SAS,61,29.5,11.3,4.5,10.1,44.4,0.9,2.8,33.5,1.4,1.8,76.8,1.8,4.3,6.1,3.4,0.8,0.4,1.9,14.2
88,Nic Claxton,BKN,51,29.4,12,5.3,8.4,62.5,0,0.1,25,1.5,2.6,56.8,2.7,7.1,9.8,2,0.6,2.1,1.2,21.1
89,Herbert Jones,NOP,56,29.4,11.4,4.1,7.9,51.4,1.5,3.5,42.9,1.8,2.1,85.2,1.1,2.5,3.6,2.4,1.3,0.8,1.2,14.2
90,Bogdan Bogdanovic,ATL,58,29.3,16.7,5.9,14,42.6,3.1,8.3,37.1,1.8,1.9,91.9,0.6,2.7,3.3,2.8,1.2,0.3,1.2,15
91,Jordan Poole,WAS,59,29.3,16.6,5.9,14.6,40.6,2.1,6.7,31.7,2.6,3,86.3,0.4,2.1,2.5,3.7,1.1,0.3,2.2,12.9
92,Tyus Jones,WAS,61,29.2,12.2,5.1,10.2,49.7,1.6,3.8,42.5,0.5,0.6,78.9,0.3,2.4,2.7,7.2,1.1,0.3,1,17.4
93,Tim Hardaway Jr.,DAL,58,29.1,16.4,5.6,13.8,41,3,8.4,35.9,2.2,2.5,87.5,0.3,3.2,3.6,1.7,0.5,0.1,1,12.8
94,Jaden McDaniels,MIN,52,29,10.5,4.3,8.4,50.5,1.2,3.4,36,0.7,1,74.5,0.8,2,2.8,1.3,0.9,0.6,1.3,10.3
95,Taurean Prince,LAL,60,29,9.2,3.4,7.7,43.5,1.9,4.9,38.8,0.6,0.9,71.7,0.2,2.7,3,1.7,0.8,0.5,0.9,9.6
96,Kelly Oubre Jr.,PHI,47,28.9,13.8,5.2,11.4,45.2,1.4,4.5,30.3,2.1,2.9,73.5,1.3,3.2,4.5,1.1,1.2,0.5,1,13.1
97,Mike Conley,MIN,57,28.8,10.6,3.6,8,44.5,2.2,5.1,43.8,1.2,1.4,91,0.4,2.5,2.9,6.2,1.1,0.2,1.2,15.3
98,Victor Wembanyama,SAS,55,28.7,20.9,7.6,16.2,47,1.7,5,33.3,4,4.9,81.5,2.2,8.1,10.2,3.4,1.3,3.4,3.4,26.4
99,Deni Avdija,WAS,58,28.5,13.7,5,10,50.4,1.2,2.9,40.2,2.4,3.2,75,1.1,5.6,6.7,3.8,0.8,0.4,2.1,17.5
100,Luguentz Dort,OKC,59,28.4,10.8,3.7,8.3,44,2,4.9,40.4,1.5,1.8,81.9,1.1,2.7,3.8,1.3,0.9,0.7,0.9,11.6
101,Cameron Johnson,BKN,48,28.1,13.9,5,11.1,45.2,2.5,6.3,39.5,1.4,1.8,77,1,3.5,4.5,2.5,0.9,0.3,1,14.6
102,Bruce Brown,TOR,52,28.1,10.8,4.1,8.8,46.3,0.8,2.7,30.4,1.8,2.1,86.4,0.8,3.6,4.4,2.7,0.9,0.3,1.1,13
103,Immanuel Quickley,TOR,56,28.1,16.1,5.5,12.6,43.4,2.5,6.2,40.6,2.7,3.1,85.6,0.2,3.2,3.4,4.1,0.7,0.1,1.3,15.6
104,John Collins,UTA,58,28.1,14.4,5.7,10.8,52.5,1.2,3.4,34.3,1.9,2.4,78.8,2.3,6.2,8.5,1.2,0.6,0.9,1.5,18.5
105,Duncan Robinson,MIA,55,28.1,13.3,4.6,10.1,45.3,2.8,6.9,40.5,1.3,1.4,88.6,0.2,2.2,2.5,3,0.7,0.2,1.4,12.5
106,Kyle Lowry,PHI,42,28,8.2,2.8,6.5,42.6,1.6,4.2,38.4,1,1.2,86,0.7,2.8,3.5,4.2,1,0.4,1.4,12
107,Dorian Finney-Smith,BKN,52,28,8.6,3.2,7.6,41.8,1.9,5.1,37.1,0.4,0.5,67.9,1.7,3,4.7,1.6,0.7,0.6,0.9,10.7
108,Jaden Ivey,DET,56,27.9,15,5.3,11.9,44.2,1.5,4.4,34.1,3,4.1,74.6,1.2,2.3,3.5,3.6,0.7,0.6,2.4,13.4
109,Caris LeVert,CLE,48,27.7,14.1,5.1,12.3,41.8,1.6,5,33.1,2.2,2.9,75.9,0.5,3.3,3.8,4.7,0.9,0.5,1.5,14.7
110,Josh Green,DAL,48,27.4,8.8,3.4,6.9,48.9,1.4,3.5,41.1,0.7,1,66,0.7,2.7,3.4,2.5,0.9,0.1,1.1,10.7
111,Myles Turner,IND,58,27.3,17.2,6.2,11.9,52.3,1.4,4.1,33.5,3.4,4.3,78.8,1.7,5.5,7.1,1.3,0.6,1.7,1.5,19.8
112,Patrick Williams,CHI,43,27.3,10,3.7,8.3,44.3,1.4,3.4,39.9,1.2,1.5,78.8,1.1,2.8,3.9,1.5,0.9,0.8,1.3,10.8
113,Alex Caruso,CHI,52,27.3,9.6,3.4,7.3,46.3,1.7,4.5,37.9,1.1,1.5,77.6,0.9,2.8,3.7,2.9,1.5,1.1,1.4,13.2
114,Vince Williams Jr.,MEM,50,27.3,9.8,3.2,7.2,43.9,1.5,4,36.8,2,2.5,79.7,1.2,4.4,5.6,3.2,0.9,0.6,1.7,13.9
115,Andrew Wiggins,GSW,51,27.2,12.7,4.9,10.7,45.5,1.2,3.3,35.1,1.8,2.5,72.7,1.5,2.7,4.3,1.7,0.6,0.5,1.2,12.1
116,Jusuf Nurkic,PHX,57,27.2,11.8,4.6,8.9,51.4,0.4,1.5,24.1,2.4,3.5,67,2.8,7.9,10.7,3.8,1,1,2.2,20.7
117,Buddy Hield,PHI,62,27,12.6,4.6,10.5,44.4,2.8,7.2,39,0.5,0.6,83.8,0.6,2.6,3.2,3.1,0.9,0.5,1.3,13.1
118,Scoot Henderson,POR,43,27,12.9,4.4,11.8,37.5,1.2,3.9,31,2.8,3.4,81.8,0.9,2.1,3,4.7,0.6,0.2,3,10.4
119,Ayo Dosunmu,CHI,59,27,10.8,4.2,8.4,49.8,1.5,3.6,40.6,0.9,1.2,78.3,0.7,2,2.7,2.7,0.8,0.4,1.2,11.8
120,Aaron Nesmith,IND,53,27,12.4,4.5,8.8,51.4,2.1,4.6,44.7,1.3,1.8,70.4,0.9,2.9,3.8,1.5,1,0.6,1,13.5
121,Caleb Martin,MIA,43,27,10.3,3.9,8.6,45.4,1.3,3.2,38.8,1.3,1.6,77.1,1.2,3.4,4.6,2.1,0.7,0.4,1.2,11.9
122,Grant Williams,CHA,57,26.9,9.2,3.2,7.3,43.4,1.7,4.5,37.5,1.2,1.5,76.1,1.1,2.9,4,1.8,0.5,0.6,1.3,10.3
123,Gary Trent Jr.,TOR,56,26.9,11.8,4.3,10.4,41.7,2.4,5.8,40.8,0.7,1,70.2,0.3,2.1,2.4,1.5,1,0.2,0.6,9.8
124,Al Horford,BOS,50,26.9,7.9,3,6.1,49.7,1.5,3.8,40.5,0.3,0.4,85,1.2,5.4,6.6,2.7,0.5,1,0.7,15
125,Bilal Coulibaly,WAS,57,26.8,8.2,2.9,6.7,43.9,1,2.7,35.9,1.4,2,68.8,0.9,3.1,4,1.7,0.8,0.8,1.4,9.8
126,Brandin Podziemski,GSW,52,26.8,9.7,3.8,8.5,45.1,1.2,3.4,36.6,0.7,1.2,61.3,1.5,4.2,5.8,3.9,0.8,0.2,1.3,13.9
